transaction_id,account_id,date,merchant_name,merchant_normalized,amount,currency,category,pending,transaction_type,iso_currency_code,merchant_id
t_00001,c_015,2025-10-09,Best Buy #347,BEST BUY,39.93,USD,electronics,false,purchase,USD,merch_0621
t_00002,c_019,2025-09-13,Starbucks #647,STARBUCKS,4.00,USD,coffee,false,purchase,USD,merch_8600
t_00003,c_002,2025-08-16,Target,TARGET,118.61,USD,retail,false,purchase,USD,merch_7196
t_00004,c_018,2025-10-06,Adidas,ADIDAS,104.77,USD,retail,false,purchase,USD,merch_7024
t_00005,c_014,2025-09-21,Shell Oil Station #442,SHELL OIL STATION,48.34,USD,fuel,false,purchase,USD,merch_8266
t_00006,c_002,2025-05-20,Steam,STEAM,6.81,USD,digital,false,purchase,USD,merch_3309
t_00007,c_011,2025-10-12,Best Buy #550,BEST BUY,546.61,USD,electronics,false,purchase,USD,merch_0621
t_00008,c_009,2025-07-13,Best Buy,BEST BUY,104.33,USD,electronics,false,purchase,USD,merch_0621
t_00009,c_018,2025-10-14,Amazon.com,AMAZON.COM,655.60,USD,online_retail,true,purchase,USD,merch_3850
t_00010,c_003,2025-09-09,Uber,UBER,41.10,USD,ride_share,false,purchase,USD,merch_9196
t_00011,c_002,2025-09-27,Costco Gas #400,COSTCO GAS,41.22,USD,fuel,false,purchase,USD,merch_0980
t_00012,c_015,2025-08-27,T-Mobile,T-MOBILE,366.60,USD,utilities,false,purchase,USD,merch_3547
t_00013,c_016,2025-09-30,Delta Air Lines #992,DELTA AIR LINES,117.26,USD,travel,false,purchase,USD,merch_1192
t_00014,c_002,2025-08-20,Amazon.com #489,AMAZON.COM,610.88,USD,online_retail,false,purchase,USD,merch_3850
t_00015,c_006,2025-10-25,Grubhub #191,GRUBHUB,10.14,USD,food_delivery,false,purchase,USD,merch_6470
t_00016,c_008,2025-07-28,Chevron,CHEVRON,65.57,USD,fuel,false,purchase,USD,merch_7341
t_00017,c_002,2025-06-03,Costco Wholesale,COSTCO WHOLESALE,237.63,USD,groceries,false,purchase,USD,merch_1368
t_00018,c_009,2025-09-17,Costco Photo,COSTCO PHOTO,103.09,USD,retail,false,purchase,USD,merch_6856
t_00019,c_010,2025-07-14,Trader Joe's,TRADER JOE'S,374.94,USD,groceries,true,purchase,USD,merch_3050
t_00020,c_020,2025-06-17,Shell Oil Station #219,SHELL OIL STATION,60.47,USD,fuel,false,purchase,USD,merch_8266
t_00021,c_012,2025-10-22,Best Buy,BEST BUY,201.93,USD,electronics,false,purchase,USD,merch_0621
t_00022,c_010,2025-06-05,Steam,STEAM,40.40,USD,digital,false,purchase,USD,merch_3309
t_00023,c_004,2025-10-05,Apple Store #110,APPLE STORE,894.76,USD,electronics,false,purchase,USD,merch_3164
t_00024,c_010,2025-06-07,United Airlines,UNITED AIRLINES,284.14,USD,travel,false,purchase,USD,merch_2270
t_00025,c_009,2025-07-02,DoorDash #930,DOORDASH,68.46,USD,food_delivery,false,purchase,USD,merch_4268
t_00026,c_014,2025-08-30,Walmart #790,WALMART,61.02,USD,retail,false,purchase,USD,merch_6154
t_00027,c_006,2025-07-18,Nike,NIKE,228.75,USD,retail,false,purchase,USD,merch_2678
t_00028,c_005,2025-06-22,Walmart,WALMART,237.18,USD,retail,false,purchase,USD,merch_6154
t_00029,c_005,2025-10-29,Hulu,HULU,9.99,USD,subscriptions,false,subscription,USD,merch_9712
t_00030,c_007,2025-05-18,Best Buy,BEST BUY,434.11,USD,electronics,false,purchase,USD,merch_0621
t_00031,c_014,2025-06-03,Burger King,BURGER KING,22.76,USD,fast_food,false,purchase,USD,merch_3290
t_00032,c_006,2025-07-26,Whole Foods Market #947,WHOLE FOODS MARKET,139.55,USD,groceries,false,purchase,USD,merch_7275
t_00033,c_008,2025-09-01,Uber,UBER,13.11,USD,ride_share,false,purchase,USD,merch_9196
